id,Width,height,Ratio(Width),Ratio(Height),Width Max 100 DPI(Inches),Height Max 100 DPI(Inches)
FLPT_MPK_0251.JPG,5132,3422,2566,1711,51.32,34.22
FLPT_MPK_0803.JPG,5130,3420,3,2,51.3,34.2
FLPT_DZ_0467.JPG,3583,5100,3583,5100,35.83,51
FLPT_SI_0347.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_SK_0740.JPG,5146,3418,2573,1709,51.46,34.18
FLPT_CS_1115.JPG,3452,5197,3452,5197,34.52,51.97
FLPT_SI_0328.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_SK_0741.JPG,3418,5146,1709,2573,34.18,51.46
FLPT_AMF_0096.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_GP_0464.JPG,3378,5170,1689,2585,33.78,51.7
FLPT_VG_0100.JPG,3352,5229,3352,5229,33.52,52.29
FLPT_GP_0564.JPG,5120,3413,5120,3413,51.2,34.13
FLPT_AKU_0163.JPG,5167,3393,5167,3393,51.67,33.93
FLPT_CS_C07_5242.JPG,5150,3448,2575,1724,51.5,34.48
FLPT_CS_2479.JPG,3421,5111,3421,5111,34.21,51.11
FLPT_CL_28.JPG,3902,5100,1951,2550,39.02,51
FLPT_JMC_FV34.JPG,3467,5071,3467,5071,34.67,50.71
FLPT_SK_0663.JPG,3434,5088,1717,2544,34.34,50.88
FLPT_CL_0181.JPG,3413,5120,3413,5120,34.13,51.2
FLPT_RF_0109.JPG,3428,5142,2,3,34.28,51.42
FLPT_DZ_0507.JPG,3572,5100,893,1275,35.72,51
FLPT_SI_0487.JPG,5100,3487,5100,3487,51,34.87
FLPT_CS_C09_4714.JPG,5150,3427,5150,3427,51.5,34.27
FLPT_SH_0063.JPG,3425,5118,3425,5118,34.25,51.18
FLPT_MAM_0336.JPG,3432,5167,3432,5167,34.32,51.67
FLPT_PT_0026.JPG,3360,5215,96,149,33.6,52.15
FLPT_MPK_0955.JPG,5100,3400,3,2,51,34
FLPT_RGZ_0004.JPG,3705,4722,1235,1574,37.05,47.22
FLPT_CS_C08_0055.JPG,3625,5100,145,204,36.25,51
FLPT_CS_C09_4543.JPG,5150,3427,5150,3427,51.5,34.27
FLPT_CS_2245_02.JPG,4120,5150,4,5,41.2,51.5
FLPT_CS_1455.JPG,3429,5233,3429,5233,34.29,52.33
FLPT_SK_0708.JPG,3407,5130,3407,5130,34.07,51.3
FLPT_CS_C07_5777.JPG,3448,5150,1724,2575,34.48,51.5
FLPT_LOD_51.JPG,3420,5296,855,1324,34.2,52.96
FLPT_MPK_0167.JPG,5153,3396,5153,3396,51.53,33.96
FLPT_AKC_0053.JPG,4550,4267,4550,4267,45.5,42.67
FLPT_MPK_0667.JPG,5150,3433,5150,3433,51.5,34.33
